OBJECTID,area_type,area_type_id,area_type_name,orig_data_download_id,area_code,SHAPE_Length,SHAPE_Area
46706,quad,3d4c4f8c-e81d-458c-b610-d37332abd6cb,Oak Grove,666666,349101,0.50000025,0.015625016
46707,quad,a7af9d22-4b8c-479c-9ac8-b55d0ed194a9,Malvern North,666666,349234,0.499999944,0.015624996
46708,quad,c985e3c4-c15c-470b-a9a1-1adfb8a1b2b0,Pangburn,666666,359134,0.499999944,0.015624996
46709,quad,ef7efef7-b1c3-4261-bbaa-60ba219854ed,Hamilton,666666,349323,0.49999994,0.015624996
46710,quad,f8104deb-1496-46ac-be7c-52c52047dda8,Myron,666666,369151,0.49999994,0.015624996
46711,quad,8a6c391e-3709-408e-8914-a04ed033ff4b,Homan,666666,339325,0.499999942,0.015624996
46712,quad,cdb2db73-adf4-471c-99ab-e41c4a8cd0c4,Hector,666666,359233,0.499999942,0.015624996
46713,quad,27d3f229-266c-4802-8d4f-a5e5e78b02cd,Star City,666666,339102,0.499999944,0.015624996
46714,quad,197599cc-d6dc-4e0b-bfb9-97dd9ee5d694,Stilwell East,666666,359412,0.499999944,0.015624996
46715,quad,026c7a5e-7647-4052-8d6d-32063dcc2bba,Lake Cormorant,666666,349007,0.49999994,0.015624996
46716,quad,227beb93-002b-4b35-a56d-6ee4471a9d4d,Caddo Gap,666666,349336,0.499999944,0.015624997
46717,quad,53095412-6468-4603-b9d4-542d587d8968,Board Camp,666666,349432,0.499999942,0.015624996
46718,quad,8e7df6a5-dc40-427e-a798-edacda96845f,Horseshoe Mountain,666666,349414,0.499999944,0.015624997
46719,quad,48d022bf-c3de-47f5-911a-61fcf3bed4ca,Olmstead,666666,349207,0.49999994,0.015624996
46720,quad,1290daa0-e7aa-4885-9301-f2a7c6609bd4,Willow,666666,349251,0.499999942,0.015624996
46721,quad,44aaff34-2403-46e7-b41b-1b9d420261fd,Eagle Mountain,666666,349439,0.499999942,0.015624996
46722,quad,7a79d8b2-fb19-4fba-a7ce-2bccbae60aba,Prairie Grove,666666,359406,0.499999942,0.015624996
46723,quad,56887bf2-746f-48be-869b-7a7ff792c281,Blevins,666666,339312,0.499999942,0.015624996
46724,quad,94027a72-0bbf-4fb9-b3b4-d61d17cde31a,Winthrop,666666,339414,0.499999942,0.015624996
46725,quad,4a4dd4a3-a7bf-462b-a67b-56eccc3345eb,Hardy NE,666666,369138,0.499999944,0.015624996
46726,quad,e8387e91-0098-4354-a28f-5a8e19074b6c,Guy,666666,359246,0.499999942,0.015624996
46727,quad,ded26eeb-c6bb-4c8c-9ee0-cfb386e267e6,De Witt NE,666666,349138,0.499999944,0.015624996
46728,quad,44f372ae-4699-4e07-992e-c74b4e5c5ddf,Houston,666666,359259,0.50000025,0.015625016
46729,quad,402fd212-8941-4378-a7bd-1ed6a0bdbf45,Calion,666666,339244,0.499999942,0.015624996
46730,quad,8904363e-27d8-43c3-b37f-480c2783de7a,Mud Lake,666666,349004,0.499999942,0.015624996
46731,quad,b0d344ad-4dfb-4c0b-884c-3a284c4f1f15,Tilly,666666,359218,0.499999942,0.015624996
46732,quad,e5b09d11-51c9-459c-87a8-a7883fca4ff7,One Horse Store,666666,349153,0.499999942,0.015624996
46733,quad,36694d8f-132a-4299-b309-221f2455d011,Keevil,666666,349115,0.499999942,0.015624996
46734,quad,bfa0ff44-84b0-4274-bfe3-46798984a6f8,Byron,666666,369141,0.50000056,0.015625035
46735,quad,86b02ec3-df1a-4a27-8bad-e5c31c080161,Humphrey,666666,349135,0.499999942,0.015624996
46736,quad,939672d6-11e7-43ef-a28f-e3f578a89281,Roe,666666,349121,0.49999994,0.015624996
46737,quad,57481224-ff42-4a28-b248-d498e2453a33,Fletcher Lake,666666,359063,0.50000025,0.015625016
46738,quad,8d63d663-751d-4768-a9d4-ad18b068101b,Catfish Point,666666,339123,0.50000025,0.015625016
46739,quad,89af6c04-a41b-4241-88e2-4051a4b76d6d,Plainview,666666,349306,0.50000025,0.015625016
46740,quad,f35e9dda-82f1-4053-bf4c-9a45c47fa0b9,Ashdown West,666666,339423,0.50000025,0.015625016
46741,quad,38d3ea0f-decf-442f-b120-29c5f4ba15ca,Nimrod Dam,666666,349307,0.49999994,0.015624996
46742,quad,8abfd240-e29c-4f45-8a1e-0112c17027c2,Faith,666666,349264,0.49999994,0.015624996
46743,quad,8b2fb581-6739-43ef-bb40-f5aa2eb0d07d,Cominto,666666,339127,0.499999942,0.015624996
46744,quad,31afdcf2-8085-491b-9a71-471dbd588b2a,La Grange,666666,349019,0.50000025,0.015625016
46745,quad,28a35e52-bc2a-4c94-9199-f33c037646a4,O Kean,666666,369050,0.49999994,0.015624996
46746,quad,30607d2a-4759-4627-bc66-8693b733c223,Risher,666666,359017,0.499999942,0.015624996
46747,quad,1c07bb55-0c34-470c-a86e-aeeb6b38a0c5,Quitman,666666,359239,0.499999942,0.015624996
46748,quad,a3e7aea7-23a2-4555-827f-defe5838a4e7,Murfreesboro,666666,349359,0.49999994,0.015624996
46749,quad,7aa09e86-c206-4a5d-afb2-ea53fc7c8a94,Alicia,666666,359108,0.49999994,0.015624996
46750,quad,55f19fda-7b1f-40cd-a01e-e89b48e90bb5,Gardner,666666,339261,0.49999994,0.015624996
46751,quad,39614fcc-fb9c-4ecc-971f-1d27283289d2,Armorel,666666,358902,0.49999994,0.015624996
46752,quad,9ce84026-2a0b-4164-8372-103cae3a5636,Damascus,666666,359245,0.49999994,0.015624996
46753,quad,f7291d91-1d2e-4a43-896f-a128033dc914,Ouachita,666666,339210,0.499999942,0.015624996
46754,quad,fd418350-f103-499a-8cdd-bfd0ea2d1dc6,Treat,666666,359331,0.49999994,0.015624996
46755,quad,9877e9f7-4c10-4b2f-9983-69475d413527,Pineville,666666,369256,0.49999994,0.015624996
46756,quad,ddb5d5be-440a-4881-9231-7024cd3fb4ff,Grays,666666,359155,0.499999942,0.015624996
46757,quad,3aba3590-4aa8-46a6-b15e-65c0a39e47ee,Gleason,666666,359260,0.500000252,0.015625016
46758,quad,6d02e5cf-d513-4ac5-83b6-a12346c5e3b7,Cerrogordo,666666,339405,0.499999942,0.015624996
46759,quad,c467f647-a268-422d-8c45-aaa78770c429,Cass,666666,359318,0.499999942,0.015624996
46760,quad,45d31322-f5d7-4640-a307-4ee16dcbc9b1,Fountain Lake,666666,349225,0.49999994,0.015624996
46761,quad,aaa5e054-4f62-4921-83fa-63943a393d57,Doddridge,666666,339357,0.49999994,0.015624996
46762,quad,dae29ae2-a0de-468f-890d-f999c8ae4ea9,Franklin,666666,369150,0.499999942,0.015624996
46763,quad,eb0cdaf4-fca9-4ad5-ade1-31639492b6da,Mount Judea,666666,359308,0.499999942,0.015624996
46764,quad,9d77eb4e-6153-456c-a9a2-29f6d126df45,Lonoke,666666,349109,0.500000252,0.015625016
46765,quad,add63d4c-0ad7-4838-85ae-75acf954a18b,Cozahome,666666,369260,0.499999944,0.015624997
46766,quad,4a98a2ac-3de2-4401-9cd9-a662369b0d9d,Corning,666666,369036,0.499999944,0.015624997
46767,quad,0974e8a9-7857-4880-be90-ec3b7b4d0ad8,Bentonville North,666666,369439,0.499999942,0.015624996
46768,quad,98399467-258b-40fa-80a9-50c92df43b19,Forrest City,666666,359058,0.50000025,0.015625016
46769,quad,b8002afa-12d3-422f-b0af-75d1d1d4632e,Wilmar South,666666,339125,0.500000252,0.015625016
46770,quad,b70b9c27-be2b-496d-b6b1-be38f4c51e32,Barney,666666,359247,0.49999994,0.015624996
46771,quad,9a8c9d14-ad64-4aab-886b-3cabe49d4a4f,Ponca,666666,369362,0.500000252,0.015625016
46772,quad,8166eaf9-aae5-4eb6-a5c2-dd536576961d,Ravenden Springs SE,666666,369148,0.50000025,0.015625016
46773,quad,4dbf7508-9600-4399-a6ed-915e3194369d,Princeton West,666666,339203,0.499999942,0.015624996
46774,quad,84072850-cc68-4afe-a61f-fa4c8d124a7d,Wickes,666666,349446,0.499999942,0.015624996
46775,quad,4f38b99b-7681-476c-9003-07fcc28504c8,Princedale,666666,359043,0.50000025,0.015625016
46776,quad,72a17412-ba4a-4cdd-9988-a5da2394516e,Langley,666666,349342,0.499999942,0.015624996
46777,quad,78d04627-c1dd-486f-800a-bedb43bc684a,Portland,666666,339152,0.499999944,0.015624997
46778,quad,8f50b537-dd8a-4911-9f1e-3c89edc3a264,Bussey,666666,339353,0.499999942,0.015624996
46779,quad,47e23a0f-6997-4ef6-8e03-9925a399f1fc,Concord,666666,359118,0.499999942,0.015624996
46780,quad,9ef3d783-f242-433f-a3a6-87659b4e9e3a,Tates Bluff,666666,339209,0.49999994,0.015624996
46781,quad,24db6772-4507-4544-97a8-76af22eda9b7,Rudy,666666,359430,0.499999942,0.015624996
46782,quad,fcb518c7-eb9b-4611-a107-105db6718fc9,Walnut Ridge SE,666666,369058,0.499999942,0.015624996
46783,quad,d1837672-b6dc-45b1-8148-8eb1156eb1ae,De Gray,666666,349355,0.499999942,0.015624996
46784,quad,547599c1-f7f3-4b6a-bec7-e8cbbab6d64b,Goosepond Mountain,666666,349217,0.49999994,0.015624996
46785,quad,d7342136-4ea7-4645-a1aa-6a43e85c8c7c,Zion,666666,369158,0.499999944,0.015624997
46786,quad,c0481ee7-10bb-4be8-ba44-22c68d517f78,Village,666666,339348,0.499999942,0.015624996
46787,quad,35ffbb5a-42d7-4883-8dcb-f6884a216cc9,Fiftysix,666666,359207,0.49999994,0.015624996
46788,quad,b7889bb8-fb96-4b07-9a49-ee26fa773dfc,Almyra,666666,349137,0.499999942,0.015624996
46789,quad,bc4d801f-e6fb-4819-86f2-41ab5e561d26,Lockhart,666666,339260,0.499999942,0.015624996
46790,quad,762f1ee8-c79c-4d7f-aceb-0bc6d2b1a739,Mayflower,666666,349205,0.49999994,0.015624996
46791,quad,a7d33ec9-48e8-4157-83f3-49d55a18f68a,Mountain Springs,666666,359264,0.50000025,0.015625016
46792,quad,32b86b2d-246c-4677-9349-450b641001cb,Parkin,666666,359044,0.499999942,0.015624996
46793,quad,caf389c4-9609-4a32-afa5-6e64b6bab1e3,Boston,666666,359312,0.499999944,0.015624997
46794,quad,e316cdff-08dc-46b7-8d23-fe7471a9f1ee,Chickalah Mountain West,666666,359353,0.499999942,0.015624996
46795,quad,2002b8c4-12e1-4eb6-aa4f-ac184a675560,Wesson,666666,339258,0.499999942,0.015624996
46796,quad,315d4dda-8271-44f6-a6eb-39e7ebf39ac6,Russellville East,666666,359348,0.499999942,0.015624996
46797,quad,00be5228-a8c4-4d3d-b592-313cae51c781,Huff,666666,359128,0.499999942,0.015624996
46798,quad,b14ea415-4343-4e7e-a44e-2cc26ff5df92,Pisgah,666666,339304,0.499999944,0.015624997
46799,quad,fe290412-6276-43fe-8aba-dae40bff841c,Milo,666666,339141,0.50000025,0.015625016
46800,quad,de6ab2b8-defa-445a-924c-00b53153842e,Murfreesboro NE,666666,349352,0.499999944,0.015624997
46801,quad,ffc28059-4c44-4df7-927f-cc147e829f48,Cherry Valley East,666666,359035,0.500000252,0.015625016
46802,quad,d2da171a-c2cb-4753-9722-404be74c1b09,Barber,666666,359456,0.499999944,0.015624997
46803,quad,bc97d84f-c9de-47f4-aec4-c33217ef08ba,Fountain Hill,666666,339142,0.499999942,0.015624996
46804,quad,40b8f5cf-f6f0-4f88-b54f-467d3b48674f,Fairfield Bay,666666,359230,0.499999942,0.015624996
46805,quad,916842eb-96eb-48b6-9f4b-3c895dd48a38,Cotton Plant,666666,359162,0.500000252,0.015625016
46806,quad,92771e2d-a9e5-4c1d-b6ce-88bdc4ebd514,Jacksonville,666666,349216,0.499999942,0.015624996
46807,quad,0942e027-dac5-4163-be45-4738650a2a3a,Rison,666666,339207,0.499999942,0.015624996
46808,quad,119b97cc-1959-4fee-b86c-46c3bf8e8f0e,Smithville,666666,369162,0.499999944,0.015624997
46809,quad,88ebaccb-4b9a-4761-92fd-ecfe2de4137a,Poyen,666666,349243,0.49999994,0.015624996
46810,quad,27e51682-733c-48af-b768-ac6869271e24,Vick,666666,339248,0.49999994,0.015624996
46811,quad,67367fca-e2d9-4219-aa3e-07661441e5f1,Natural Dam,666666,359421,0.49999994,0.015624996
46812,quad,8e0f1e7a-0005-4cc7-80f9-c77425559ea0,Crossett North,666666,339149,0.500000252,0.015625016
46813,quad,bc7c34a5-ae24-42d6-b0ae-d4f82e23d119,Fordyce,666666,339213,0.49999994,0.015624996
46814,quad,75aaea19-a242-4324-8a18-0a859b99aa34,Denver,666666,369338,0.500000252,0.015625016
46815,quad,3deb8c4b-7f20-4c30-9c58-7254aead2083,Dierks,666666,349464,0.499999942,0.015624996
46816,quad,50c5f96d-6f82-4b92-8cab-a48ef5427f84,Botkinburg,666666,359220,0.499999942,0.015624996
46817,quad,10eec655-e541-45fa-b105-d98c46a5114e,Friars Point,666666,349043,0.50000025,0.015625016
46818,quad,394d5a44-0925-4654-a317-a976151b999f,Pollard,666666,369038,0.499999944,0.015624996
46819,quad,ffc0c5b3-63a9-4b13-aef1-3df0a09ca92b,Brushy Creek Mountain,666666,349318,0.499999942,0.015624996
46820,quad,81a8ef5c-359d-4b9b-89b5-01ee7e5eab54,Brentwood,666666,359416,0.499999944,0.015624996
46821,quad,8164865c-7c0a-42cd-903f-f3075faeee12,Landis,666666,359205,0.49999994,0.015624996
46822,quad,d08486b7-b5d2-40dc-9dba-1d2e542eea2b,Cotter NW,666666,369235,0.499999942,0.015624996
46823,quad,147080d6-2b92-431f-a3f6-5ab4c346bbbe,Falls Chapel,666666,339415,0.49999994,0.015624996
46824,quad,b27c1bd5-d27a-4acb-8f56-e7b3f52036d2,Grapevine,666666,349254,0.499999944,0.015624997
46825,quad,d393a429-7724-439f-a12a-811105d209a6,Robinson,666666,369454,0.499999942,0.015624996
46826,quad,08441b6b-04ec-4620-b19d-bb229a1b0fe4,Fallsville,666666,359313,0.499999942,0.015624996
46827,quad,19879987-12e2-4a4f-8e17-2210dd63cac0,Woodberry,666666,339228,0.499999944,0.015624997
46828,quad,add433d6-1b31-4a56-b6d4-01c89cf22aa5,Lincoln,666666,359405,0.49999994,0.015624996
46829,quad,94e9e61b-eb20-4982-9b0e-9168dce46666,Blue Mountain,666666,359351,0.499999942,0.015624996
46830,quad,2db09652-3463-4a56-8f0e-54802a0621d5,Lee Mountain,666666,359339,0.499999942,0.015624996
46831,quad,a948df4e-d002-43a2-b46e-08dd58694c8b,Cotter,666666,369244,0.500000252,0.015625016
46832,quad,8efe1b9d-05ae-4de5-9a35-432644f41345,Dansby,666666,349003,0.50000025,0.015625016
46833,quad,275b0e24-04cc-4a76-9e40-c6fab7ef68ac,Mountainburg,666666,359423,0.49999994,0.015624996
46834,quad,805b00c9-a394-4bf8-98e3-17c5eb06785a,Soudan,666666,349011,0.500000252,0.015625016
46835,quad,f51856aa-e681-48e2-8195-2d31cc929651,Mountainburg SE,666666,359432,0.499999942,0.015624996
46836,quad,8e25090b-f836-4eb3-9b7a-169b789318f1,Marysville,666666,339249,0.499999942,0.015624996
46837,quad,ffc0c55d-cc43-4f56-bd54-4d1a9979adb6,Auvergne,666666,359131,0.49999994,0.015624996
46838,quad,7f0ecddb-3e69-4c19-b8c3-d8d6b3d055a8,Sidney,666666,369159,0.499999942,0.015624996
46839,quad,b989dafa-09e0-4a7d-84f1-eb0c4520fca2,Bryant,666666,349229,0.49999994,0.015624996
46840,quad,9e10dd3d-7001-4461-9bcc-fd2e15b9ce6e,Berryville,666666,369344,0.500000252,0.015625016
46841,quad,f8e137ba-9fcf-4a2c-a2a9-0eb27d3ad485,Burnville,666666,359455,0.499999942,0.015624996
46842,quad,6539a9cc-cd51-4ff0-b9b2-38bd1fefcaef,Midway,666666,369237,0.499999942,0.015624996
46843,quad,59e8e7cf-8518-4a5c-9ed1-5940caf4a376,Mountain Home West,666666,369245,0.50000025,0.015625016
46844,quad,601378a1-049f-4fae-bee1-4105ecf82519,Eureka Springs,666666,369335,0.499999942,0.015624996
46845,quad,2ed54a1e-9503-40ca-b342-cf4b3faee3c1,Osage NE,666666,369354,0.50000025,0.015625016
46846,quad,20b2cb23-246b-4ba2-8ee0-d44373e3d043,Booneville,666666,359349,0.499999942,0.015624996
46847,quad,0c74e7be-3b5c-4ec3-8f12-b6aec9747ac1,Arkansas City,666666,339131,0.499999942,0.015624996
46848,quad,37c93ad1-ee85-41ab-922d-4296086d6fb9,Big Flat,666666,369261,0.499999942,0.015624996
46849,quad,a8bf5259-23e5-4227-aa94-81d33c3736b4,Hardy,666666,369145,0.50000025,0.015625016
46850,quad,f82a64b3-0cbd-41c1-b106-015348736a88,Heafer,666666,359046,0.499999942,0.015624996
46851,quad,dfd9df24-a8fb-423e-b18f-df2040d5e023,Lodge Corner,666666,349144,0.499999942,0.015624996
46852,quad,2d9116a0-a143-4bdf-a59e-ad90ea7d4411,El Dorado West,666666,339251,0.499999942,0.015624996
46853,quad,d8d074f1-05b0-4168-886f-cd2d83706b90,Ozone,666666,359321,0.49999994,0.015624996
46854,quad,d0bcfdfc-d272-42c7-9bad-7aff8566fa02,Watson,666666,339106,0.499999944,0.015624996
46855,quad,5a759c70-4b26-48bf-b1cd-08bb1f396f36,Stuart,666666,369144,0.500000252,0.015625016
46856,quad,37fe17a6-2db0-43d2-a76c-31fa99f3d995,Cherokee City,666666,369444,0.500000252,0.015625016
46857,quad,e54d304f-1830-4576-86dd-58b5b49ad8b8,Clinton,666666,359229,0.49999994,0.015624996
46858,quad,d93dcaf2-6135-422a-a7e1-fa84089a6843,Fourche,666666,349204,0.499999942,0.015624996
46859,quad,a7872ac1-81f4-491a-b47c-561c6cc4f111,Herman,666666,359010,0.499999942,0.015624996
46860,quad,9c068f5d-fa02-4dd0-baea-6ac4cab03efd,Kennett South,666666,369056,0.499999942,0.015624996
46861,quad,6dbb7054-49b8-45ef-8a8f-c20eb3880f9d,Aubrey,666666,349017,0.499999942,0.015624996
46862,quad,81ac69bf-ee3c-4e3a-8dee-941eaecc898a,Elaine,666666,349042,0.49999994,0.015624996
46863,quad,8c790ee9-d85d-4b5d-854c-c22bea6db2cb,Scotland,666666,359228,0.499999942,0.015624996
46864,quad,45c3c804-9804-43ef-bc4f-8c2df6d20915,Tarry,666666,349158,0.499999942,0.015624996
46865,quad,33e875d2-0826-4c66-a03f-0964a716976b,Boxley,666666,359305,0.49999994,0.015624996
46866,quad,fa18399e-a238-4fa1-9609-845eded8dd5e,Boyd Hill,666666,339335,0.49999994,0.015624996
46867,quad,6184cf11-41a9-4ea7-a64b-e36e97b1a52b,Nashville,666666,339302,0.499999944,0.015624996
46868,quad,e39c64f0-81bc-4fe5-b4ab-47ea5c105ad0,Robinsonville,666666,349014,0.499999944,0.015624996
46869,quad,ca182811-bd53-4fec-b7ae-a1eff5827a5b,Chalybeate Mountain East,666666,349354,0.500000252,0.015625016
46870,quad,9de74efd-1ba5-4516-86df-714b1da7e368,Felsenthal Dam,666666,339264,0.49999994,0.015624996
46871,quad,ce8e53c9-d2b6-466b-81d1-0c147263811e,Gillett,666666,349161,0.49999994,0.015624996
46872,quad,fc854b42-6bea-4064-aaa9-dbebcb89d63b,Augusta SW,666666,359145,0.49999994,0.015624996
46873,quad,a15b069c-9bfb-4a2c-91a2-8858843b5988,Hattieville,666666,359242,0.499999942,0.015624996
46874,quad,0d9dc398-d651-4797-bd91-e774819984af,Dierks Dam,666666,349456,0.499999944,0.015624997
46875,quad,24d9d2ce-4e0c-45cb-ac44-202f0e3cd8ab,McDougal,666666,369037,0.499999942,0.015624996
46876,quad,0b3d8839-e227-43aa-b772-c8fd39940e8a,Danville,666666,359361,0.50000025,0.015625016
46877,quad,c961dc62-7fcd-470d-9e21-2d81a0231d48,Luxora,666666,358909,0.499999942,0.015624996
46878,quad,b256811a-762d-4219-a712-0a35e4d169eb,Ethel,666666,349147,0.49999994,0.015624996
46879,quad,84956e44-7e6a-45a7-8c1e-b6300be6f87c,De Queen NW,666666,349453,0.499999942,0.015624996
46880,quad,d6af31f5-8adc-4574-9f41-83772a06b0ca,Smackover,666666,339243,0.49999994,0.015624996
46881,quad,76a7075d-107b-4922-b664-ad5133659373,Lepanto,666666,359030,0.499999942,0.015624996
46882,quad,a387e92f-85ad-466f-8c57-087607f5ddd7,Washington,666666,339311,0.49999994,0.015624996
46883,quad,e1fecd77-87bf-4aee-8093-f6607a0c1123,Judsonia,666666,359143,0.49999994,0.015624996
46884,quad,57353630-2d13-4c65-a5c4-007f37aad956,Wynne,666666,359050,0.499999942,0.015624996
46885,quad,83df5f3f-087e-465c-948d-d2c4eaf09dcf,Manning,666666,349258,0.499999942,0.015624996
46886,quad,73ed9768-3ebe-4569-9789-4f1fdfb1a72b,Gravette,666666,369437,0.499999942,0.015624996
46887,quad,b2dd2ec4-c5ac-4bcf-978c-adb6c1fa1e25,Boswell,666666,369264,0.499999942,0.015624996
46888,quad,bb98f0c3-8f31-4df1-a457-ab6e1d746730,Indian Bay SE,666666,349148,0.49999994,0.015624996
46889,quad,3ad2e0d1-eca4-4baa-b337-64559a51919d,Pine City,666666,349132,0.49999994,0.015624996
46890,quad,b51c4e8b-d313-4822-972f-e7c2c93d4011,Line,666666,339136,0.499999942,0.015624996
46891,quad,9a7572da-f141-4e97-97a4-566b3afc9f92,Mandeville,666666,339333,0.49999994,0.015624996
46892,quad,535c6047-0ef0-424a-b912-f17f0224666b,De Witt SW,666666,349145,0.49999994,0.015624996
46893,quad,5fbbc330-e77f-4635-8d71-8900ec85a330,El Dorado East,666666,339252,0.499999944,0.015624997
46894,quad,0a796afc-8469-4597-bbe3-da4fbe4cefe7,Beebe,666666,359157,0.50000056,0.015625035
46895,quad,f5b177f4-3346-444f-b914-b8e05ab19465,Thornburg,666666,349202,0.499999942,0.015624996
46896,quad,09a46ccd-a2d2-4c7a-89d9-0087b6219b2e,Gamaliel,666666,369239,0.499999942,0.015624996
46897,quad,7b6b8d5e-5701-4d7c-a603-9b14a2b9f098,Calmer,666666,339208,0.499999942,0.015624996
46898,quad,48b3b6c1-8b60-45be-90d4-f738ebefed6c,Mountainburg SW,666666,359431,0.49999994,0.015624996
46899,quad,cd775337-b206-41ad-baf7-b5a7bb955bc0,Canfield,666666,339351,0.499999942,0.015624996
46900,quad,19995c0b-4262-4878-b350-13f2ae0600bc,Macon Lake,666666,339138,0.499999942,0.015624996
46901,quad,ba2293a2-8649-4d04-aa6e-00fcde88dce2,Rover,666666,349305,0.49999994,0.015624996
46902,quad,facfa0d9-c264-4552-8aef-768e1292a516,Readland,666666,339163,0.49999994,0.015624996
