"id","coverage","number_of_frames","scanned","medium","print_type","physical_location","remarks","created","last_modified","collection_id","frame_size_id","scale_id"
"35e96dc6-db3f-426b-946a-76165e760bec","Partial",0,0,"Print","B&W","B-2-5","Collection described by FIPS code 48139","2018-11-28 21:57:37.826366+00","2018-11-28 21:57:37.826386+00","e36a50c1-8bef-45fd-bd5e-15ec6e0cd9b6","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"2b0b006e-b76d-476b-b9ff-981290124744","Partial",0,0,"Print","B&W","C-3-5","","2018-11-30 20:55:58.681473+00","2018-11-30 20:55:58.681493+00","a13b69b7-0ddc-43d4-b0ed-d08b31962228","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"315ac7f0-a8d6-428c-80e6-6a95f89cea66","Partial",0,0,"Print","B&W","C-4-1","","2018-12-12 16:05:18.665627+00","2018-12-12 16:05:18.665647+00","2a3d35e9-ceb5-49f7-ba98-29dd0b763b95","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"71f868a4-dd11-45f6-9513-6d8c881e1533","Partial",0,0,"Print","B&W","C-4-4","Portions of Roll 5","2018-12-18 15:01:26.270764+00","2018-12-18 15:01:26.270784+00","a7fb01be-9974-404e-9b60-dd3f3259c22c","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"8e7b3356-bce4-4a95-84ad-c8946b88a794","Partial",0,0,"Print","B&W","D-4-1","Carthage","2018-12-19 19:49:59.77518+00","2018-12-19 19:49:59.7752+00","e86ff613-591c-41a1-b84f-f8f34e0697b1","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"78adf335-9405-41d1-98cd-9e11cee80f68","Partial",0,0,"Print","B&W","D-2-3","","2018-12-19 21:14:55.964492+00","2018-12-19 21:14:55.964513+00","10a1c559-9a43-4c53-8094-9d46a0d89a85","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"74fe255d-7472-4e74-8191-da06c849ad6a","Partial",0,0,"Print","B&W","E-1-2","","2018-12-20 14:16:46.919427+00","2018-12-20 14:16:46.919447+00","541ddc8c-20da-42a8-a461-18d9993aebef","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"14f7d1b5-3bad-4954-a19f-b64ea7efc4ec","Partial",0,0,"Print","B&W","E-2-1","","2018-12-20 16:34:01.590632+00","2018-12-20 16:34:01.590653+00","91f8ec06-505e-4aad-a9e4-6347083cfd68","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"69dc0d40-e6d2-455c-9945-cdbd38ef77f4","Partial",0,0,"Print","B&W","E-4-2","","2018-12-21 22:15:20.15743+00","2018-12-21 22:15:20.15745+00","e444e538-a2ed-4747-814c-a285905ee946","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"3c50418f-68f5-47f5-9ab5-1db31fecf951","Partial",0,0,"Print","B&W","A-2-6","NW BSTN","2019-01-02 17:21:48.384379+00","2019-01-02 17:21:48.384399+00","e86ff613-591c-41a1-b84f-f8f34e0697b1","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"ad8ee223-d11b-41fa-b1a0-c547b7c1dd2c","Partial",0,0,"Print","B&W","Haskell","Contains portions of rolls 1,2,3,4, and 5","2018-02-07 16:13:46.843219+00","2018-04-07 13:46:10.888743+00","ac235c90-5901-4e28-af63-3af7c763d51d","e02065f0-62c4-492c-ae83-7f94868bbb71","c2170bce-6c8d-4ff7-a1de-b2736fbb77c0"
"5fb51cd5-d200-48f3-a87b-6f87891c11e7","Partial",0,0,"Print","B&W","A-1-1","","2018-11-13 15:28:24.874512+00","2018-11-13 15:28:24.874532+00","874fecef-19bd-4815-b95c-55e08140c82c","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"cbab64bb-7806-4663-9285-97528037bd4a","Partial",0,0,"Print","B&W","A-2-1","","2018-11-13 17:02:06.13009+00","2018-11-13 17:02:06.130109+00","452ee1c4-8814-4145-9aad-3e308a6995bc","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"14d855c0-a0c2-4b6e-899c-238deb907878","Partial",0,0,"Print","B&W","A-4-2","ASCS collection, county identified with FIPS code 48061","2018-11-13 21:50:54.524253+00","2018-11-13 21:50:54.524273+00","86422342-854b-4cb8-91cf-f013c0d03f6d","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"5cdbc251-2758-4526-b638-93ccfd7bedfb","Partial",0,0,"Print","B&W","C-2-4","HUDS Co.","2018-12-12 16:07:21.90014+00","2018-12-12 16:07:21.900161+00","9c2590c9-1dd9-48b5-810f-e76aa83c0c2e","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"0d62e86d-2fc4-404d-a18c-c6deac5db0e0","Partial",0,0,"Print","B&W","B-3-4","Fort Bend Co. from 1989","2018-11-14 17:08:30.962657+00","2018-11-14 20:12:49.682798+00","b50fc728-97f7-428d-b459-942b02a4199b","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"bbcf600c-1da1-41aa-883a-7887709a83f6","Partial",0,0,"Print","B&W","B-4-3","Grayson Co.","2018-11-16 19:47:21.250611+00","2018-11-16 19:47:21.250631+00","937d8ccb-396c-410b-a730-d086a7ea88d5","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"bbb3efb0-66f1-4ed1-aa99-affdc43c8f26","Partial",0,0,"Print","B&W","C-4-4","","2018-12-18 15:02:13.150798+00","2018-12-18 15:02:13.150818+00","f255df79-cddf-4ac4-8375-96c237e75d10","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"ee1276ab-b2b2-4d50-a9d4-ef46d5ba4016","Partial",0,0,"Print","B&W","B-2-5","Waxahachie","2018-11-28 21:58:26.989554+00","2018-11-28 21:58:26.989574+00","cd515fd2-78ce-4234-98c4-30a96b2d662e","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"8c0875eb-f152-444f-8055-f1edc01171bb","Partial",0,0,"Print","B&W","C-1-5, C-3-4","1. C-1-5 subset for Henderson Co,, CC RES
2. C-3-4 subset for Kaufman Co.","2018-11-19 17:31:25.484793+00","2018-11-30 20:32:18.438648+00","a876b0b5-5040-4f85-9d7b-dd221942eb74","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"fffea066-4eb4-4e37-81fd-0ec1f0ce057a","Partial",0,0,"Print","B&W","C-3-5","","2018-11-30 21:02:06.45519+00","2018-11-30 21:02:06.455211+00","b55d48db-bcf0-4ca4-9db2-bc063ba89aa3","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"696cdde5-d0d6-4c37-9bab-36c67ed78265","Partial",0,0,"Print","B&W","D-4-1","","2018-12-19 19:51:27.378577+00","2018-12-19 19:51:27.378598+00","6bb31b8d-9bbd-40af-ae8e-789b73f96968","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"493e6873-c4d6-4fc3-b4e3-a6e22bb06fdc","Partial",0,0,"Print","B&W","D-4-5","","2018-12-19 21:15:12.989935+00","2018-12-19 21:15:12.989955+00","c1db24ae-92c1-4557-a834-f834aa9a56ec","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"d254fef2-4f3d-4104-b62d-ef1e998f10a8","Partial",0,0,"Print","B&W","E-3-3","Handwritten numbers, use line index to locate frames","2018-12-20 14:17:43.324151+00","2018-12-20 14:17:43.324171+00","707f5411-db13-4c4c-9861-418ba6f46892","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"8b4c40e8-cbfe-476f-930f-0b10e347284e","Partial",58,0,"Print","B&W","Wilson","Contains portions of rolls 1-5","2019-01-02 17:27:05.129862+00","2019-01-02 17:27:05.129886+00","1ee70f57-3b21-43c5-978c-f296db900e80","13913c8f-47de-4aff-91a7-fa8fdfa28bbe","10493d78-14cb-411e-8e7d-9ec2c6488ff3"
"3f5fefeb-090b-4138-8087-e6f0529cf33e","Partial",0,0,"Print","B&W","1. E-2-2
2. E-2-2","1. HUB CRK LAK
2. PK Lake","2018-12-20 16:35:42.94569+00","2018-12-20 16:36:49.488154+00","13378c0d-3086-4c9c-b20f-1b0bf227235f","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"efc76398-5965-470c-bc44-fa809e24d35d","Partial",0,0,"Print","B&W","E-4-2","Georgetown","2018-12-21 22:16:20.283714+00","2018-12-21 22:16:20.283733+00","62113901-087d-4338-96e4-1e1e9c227808","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"77058208-df92-447e-91ea-c46a7028cf76","Partial",34,0,"Print","B&W","Webb Flat File","","2018-06-27 19:17:24.284303+00","2018-06-27 19:17:24.284324+00","0dd724ee-5dbc-4115-861d-59da421def38","13913c8f-47de-4aff-91a7-fa8fdfa28bbe","2b35500b-f5e8-4a7f-926f-031b30adb637"
"2b1f4d03-cae6-464d-a2b3-9ae64a9a5754","Partial",4,0,"Print","B&W","Fisher","Rotan, Longworth, Mc Caulley, Sylvester","2018-02-07 16:16:49.964034+00","2018-04-07 13:30:28.603851+00","53b9bed1-2ae9-40df-8c97-167900ebd56b","e02065f0-62c4-492c-ae83-7f94868bbb71","10493d78-14cb-411e-8e7d-9ec2c6488ff3"
"714d6e44-41f6-4374-8bda-6d8ec9089dbb","Partial",3,0,"Print","B&W","Hill","","2018-04-07 16:11:43.955547+00","2018-04-07 16:11:43.955568+00","f263e975-91c6-410a-bbed-4f0dac69c482","e02065f0-62c4-492c-ae83-7f94868bbb71","c2170bce-6c8d-4ff7-a1de-b2736fbb77c0"
"d2522ae5-455b-4009-a108-d3900ba9bbb3","Partial",0,0,"Print","B&W","A-3-1","Frames are ordered by handwritten numbers","2018-11-13 15:28:37.433065+00","2018-11-13 15:28:37.433085+00","081902de-5201-4911-b253-c0e0655e23e5","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"8b0df789-0419-4b79-80b2-c68fbbebd90f","Partial",0,0,"Print","B&W","A-2-2","Bee Co.","2018-11-13 17:17:14.544939+00","2018-11-13 17:17:14.544958+00","8997220f-7c93-4799-bef5-2bcb197eddc7","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"c578419c-38ac-4be2-b4d9-9ed241bde7f4","Partial",0,0,"Print","B&W","A-4-2","","2018-11-13 21:53:02.044144+00","2018-11-13 21:53:02.044163+00","fc2f2f31-36a4-4e16-abd5-e08188c5b609","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"85a397b8-85ad-44cc-89b1-2d88f1ceed42","Partial",0,0,"Print","B&W","B-1-2","Coleman, only contains 5 frames: 1-1 -- 1-5","2018-11-14 17:09:23.954594+00","2018-11-14 17:09:23.954614+00","0547f9f4-fd9e-42d4-9696-ed3a7a476ebb","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"7d0f9df9-eb3a-4399-b17d-02dad09699bb","Partial",0,0,"Print","B&W","B-4-3","Gregg Co.","2018-11-16 19:48:40.747692+00","2018-11-16 19:48:40.747712+00","a7c97c7f-df94-47c1-a18c-7f16dc4c1d3a","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"f7c333f9-ff3a-4f45-9241-0d2e9a82e484","Partial",0,0,"Print","B&W","C-1-5","","2018-11-19 17:32:13.916653+00","2018-11-19 17:32:13.916674+00","5dbedd15-2ddb-45f0-a17c-ad0aa7edcd3c","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"f164ba64-728e-4382-994a-330b2598c891","Partial",0,0,"Print","B&W","B-2-5","City of Ennis","2018-11-28 21:59:25.778514+00","2018-11-28 21:59:25.778533+00","dae1d403-aa67-4182-8aa2-1d51e9c606f1","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"52f8672e-0e1c-4cb4-9af7-b223348a09fa","Partial",0,0,"Print","B&W","C-2-4","","2018-12-12 16:07:59.202399+00","2018-12-12 16:07:59.202419+00","78010491-e3b7-4560-abc6-cd3cb06e8d18","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"ef7941b8-32f2-418f-a15b-738143d10c55","Partial",0,0,"Print","B&W","Wilson","Rolls 4 and 6","2019-01-02 17:30:22.45115+00","2019-01-02 17:30:22.45121+00","f658fee6-9daa-46f4-82f0-02e385687180","13913c8f-47de-4aff-91a7-fa8fdfa28bbe","c2170bce-6c8d-4ff7-a1de-b2736fbb77c0"
"1f842a86-b959-4d0d-a40f-72725b5f3567","Partial",0,0,"Print","B&W","C-4-4","","2018-12-18 15:03:29.890141+00","2018-12-18 15:03:29.890162+00","fcafe2c8-678a-4bd6-87dc-ccfe26ba4900","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"8da2a8e7-98ba-4aee-a1f7-24bc8dd5159d","Partial",0,0,"Print","B&W","D-4-1","hand written numbers","2018-12-19 19:52:45.304482+00","2018-12-19 19:52:45.304502+00","019f4c0c-ce7a-4f9d-a4c0-761fd33f2d54","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"ccadd6d2-326f-4bc5-b5aa-0d679ca87fe6","Partial",0,0,"Print","B&W","D-2-3","","2018-12-19 21:16:18.794119+00","2018-12-19 21:16:18.794138+00","5d1c7b5c-7cf9-482a-bf77-75ef5ce0b47c","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"ae82dac9-8c8a-4b4f-b64c-8c352afad114","Partial",0,0,"Print","B&W","E-1-2","","2018-12-20 14:17:45.939718+00","2018-12-20 14:17:45.93977+00","1e5cb6d1-b396-4279-9f9f-b9e06232295c","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"8fa93e0f-86f1-4a13-bc68-f3066f1edaee","Partial",0,0,"Print","B&W","E-2-2","","2018-12-20 16:37:24.61047+00","2018-12-20 16:37:24.610491+00","24b7db45-aec7-428d-b918-f9d4e4613581","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"1ba41736-8b32-4239-9e87-2d19c1ad179f","Partial",0,0,"Print","B&W","E-4-2","Taylor","2018-12-21 22:17:03.018569+00","2018-12-21 22:17:03.018589+00","2765a8ac-646d-4921-8117-5bc43f942440","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"7602ba15-86a4-4d2a-b4e0-4fc512366de5","Partial",0,0,"Print","B&W","Wharton","","2018-04-07 18:02:08.758469+00","2018-04-07 18:02:08.758489+00","f1dfc662-de6f-455d-a6e9-ab20881caf9a","e02065f0-62c4-492c-ae83-7f94868bbb71","c2170bce-6c8d-4ff7-a1de-b2736fbb77c0"
"43b0fa89-9f8d-4062-a02a-134eae7b53c9","Partial",2,0,"Print","B&W","Sherman","","2018-04-07 22:50:50.366796+00","2018-04-07 22:50:50.366816+00","075e5bfc-90b0-447d-8baa-9385e78da1fe","13913c8f-47de-4aff-91a7-fa8fdfa28bbe","2b35500b-f5e8-4a7f-926f-031b30adb637"
"ee763bb1-d304-4682-a9c7-36dbd4692ed1","Partial",1,0,"Print","B&W","Falls","Marlin","2018-04-07 13:37:50.234402+00","2018-04-07 13:37:50.234422+00","48e536c4-aceb-4bb9-8e86-a81bbe9c0869","68334783-ea29-4f1f-b146-72513f4e8123","2b35500b-f5e8-4a7f-926f-031b30adb637"
"f6322d89-112b-4e5d-9a9a-aab79770249b","Full",464,0,"Print","B&W","FC 48B","","2018-02-07 16:08:17.216744+00","2018-04-07 16:15:16.390239+00","82bf0615-17ef-4579-a815-7236e859f83f","89dfd698-ae3e-4ea2-9dcf-fe1f42012910","ba99cb47-a99a-4350-b35c-afb7ef558456"
"fd7b61f1-d95e-4740-83fa-1758091ed560","Partial",0,0,"Print","B&W","A-1-1","","2018-11-13 15:29:02.654789+00","2018-11-13 15:29:02.65481+00","68318b5f-e93b-4d0f-95d8-2a359e6ef932","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"f79db6cc-b18e-4f26-a3bb-5eb675a23de2","Partial",30,0,"Print","B&W","FF","","2018-07-20 16:25:34.865323+00","2018-07-20 16:25:34.865343+00","8e7adf17-03ef-4693-a1b0-38863fe6d2fa","e02065f0-62c4-492c-ae83-7f94868bbb71","c2170bce-6c8d-4ff7-a1de-b2736fbb77c0"
"990e0fb0-6440-4949-be26-e56d6d98f80d","Partial",0,0,"Print","B&W","A-4-3","LP 374","2018-11-13 21:56:51.8626+00","2018-11-13 21:56:51.86262+00","d5077e7c-673b-4438-84c9-b6cab5cff214","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"3a7e70df-7fe0-4735-8871-2e99790aa057","Partial",0,0,"Print","B&W","C-2-4","","2018-12-12 16:08:57.027985+00","2018-12-12 16:08:57.028005+00","02675abd-a957-4a3d-a4ed-5539f92d2362","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"8e1c20af-5506-4d66-8721-e0b9e08f2902","Partial",0,0,"Print","B&W","B-4-3","Gregg Co.","2018-11-16 19:50:46.273192+00","2018-11-16 19:50:46.273211+00","54fe4ab5-53b8-4fde-8e4f-f46797c7f4bd","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"81d6dc1e-7f2e-4b3c-92b5-c0dcd0165f94","Full",29,0,"Print","B&W","Gillespie","","2018-02-07 16:08:27.538506+00","2018-04-07 19:55:44.334525+00","19d5e4a7-ba00-4369-b79d-db9e025ce1af","13913c8f-47de-4aff-91a7-fa8fdfa28bbe","037cacd3-584d-4571-adc9-f329f959d251"
"eea90475-0a4b-450b-b1af-e788a7ca3ad5","Partial",34,0,"Print","B&W","Hidalgo","","2018-02-07 16:08:27.538506+00","2018-04-07 20:10:05.541508+00","19d5e4a7-ba00-4369-b79d-db9e025ce1af","13913c8f-47de-4aff-91a7-fa8fdfa28bbe","037cacd3-584d-4571-adc9-f329f959d251"
"0e7308f1-780e-4eda-9c20-d9708d5807e7","Partial",0,0,"Print","B&W","C-1-5","City of Athens","2018-11-19 17:33:04.585721+00","2018-11-19 17:33:04.585741+00","38134d71-8362-4ac4-8f08-5f492856c339","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"62faaa80-6dff-4342-8a10-22ac4ca9fbd8","Partial",0,0,"Print","B&W","B-2-5","","2018-11-28 22:02:01.102907+00","2018-11-28 22:02:01.102927+00","3bc6dbf2-8f3d-4bbe-bbd8-611f7d6106b7","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"8fe43eb1-283a-477b-a181-58dc6e866a28","Partial",0,0,"Print","B&W","C-3-5","","2018-11-30 21:04:51.175685+00","2018-11-30 21:04:51.175704+00","310a6acd-1a46-441f-b21f-efd4f4752f4f","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"f5c003b3-642e-4148-b548-de667a76a50b","Partial",0,0,"Print","B&W","C-4-4","Portions of rolls 1-3
Cleveland","2018-12-18 15:06:32.728048+00","2018-12-18 15:07:13.278253+00","69171311-0e76-46b9-8121-fc0ba1f19fe5","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"ef747e0d-1ff4-49bf-9637-d3628b8dd022","Partial",0,0,"Print","B&W","D-1-5","Hand written numbers","2018-12-19 19:53:12.427742+00","2018-12-19 19:53:12.427761+00","d4162dde-8d7e-4b8c-bded-d1799c318e88","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"c855b938-7f18-493c-a12f-3194cb331d34","Partial",0,0,"Print","B&W","D-4-5","","2018-12-19 21:19:46.147947+00","2018-12-19 21:19:46.147967+00","31a8c155-d1ce-4f32-86d9-d4cc1f313361","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"6d90a3d4-e23a-42a5-a9cb-8587744718a6","Partial",0,0,"Print","B&W","E-1-2","","2018-12-20 14:18:55.403715+00","2018-12-20 14:18:55.403735+00","8a3e4cd6-97c7-49b2-9135-aa8009cb8083","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"6c71bf81-7e25-4682-998f-61d68ad1bcce","Partial",0,0,"Print","B&W","E-2-2","","2018-12-20 16:39:09.223893+00","2018-12-20 16:39:09.223928+00","bf16941f-fb08-4b71-9a19-3dea20d9e753","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"406f0539-1bd8-4787-a21b-45114dea617b","Partial",0,0,"Print","B&W","E-4-2","","2018-12-21 22:18:15.0842+00","2018-12-21 22:18:15.08422+00","54126a0d-fee6-49d0-b213-3f56e953a90b","a3b9aa31-af6d-4052-8f73-552545a13e09","c085f008-4498-482d-8226-d9bc488651e1"
"632d3f68-c631-4411-916d-b41f4b521d52","Partial",5,0,"Print","B&W","Lee","Portions of rolls 10,11, &12","2019-01-02 17:46:07.306731+00","2019-01-02 17:46:07.306753+00","f22cc621-ca26-47ab-b765-223544f204cb","e02065f0-62c4-492c-ae83-7f94868bbb71","10493d78-14cb-411e-8e7d-9ec2c6488ff3"
"b4194593-1484-4657-b81c-72a977b70fe5","Partial",28,0,"Print","B&W","McMullen","Whole county","2018-02-07 16:08:27.538506+00","2018-04-07 20:20:16.693879+00","19d5e4a7-ba00-4369-b79d-db9e025ce1af","13913c8f-47de-4aff-91a7-fa8fdfa28bbe","037cacd3-584d-4571-adc9-f329f959d251"
"41f1985a-c587-48c0-9ed1-dcbf908d750e","Full",641,0,"Print","B&W","Lampassas","","2018-02-07 16:08:27.538506+00","2018-04-07 20:22:18.722877+00","19d5e4a7-ba00-4369-b79d-db9e025ce1af","13913c8f-47de-4aff-91a7-fa8fdfa28bbe","037cacd3-584d-4571-adc9-f329f959d251"
"5d16eb19-c64d-4abe-bd61-a17a925b9ed2","Full",23,0,"Print","B&W","La Salle","","2018-02-07 16:08:27.538506+00","2018-04-07 20:26:37.063353+00","19d5e4a7-ba00-4369-b79d-db9e025ce1af","13913c8f-47de-4aff-91a7-fa8fdfa28bbe","037cacd3-584d-4571-adc9-f329f959d251"
